"","Tool","ma_focus_tool","cro_focus_tool","studies_by_tool"
"1","Prosecutions_tool",39,51,68
"2","Development assistance_tool",0,52,52
"3","Peace operations_tool",9,124,129
"4","Comprehensive economic sanctions_tool",4,34,37
"5","Mediation_tool",7,84,88
"6","Security assistance_tool",0,23,23
"7","Naming_and_shaming_tool",2,21,23
"8","Targeted sanctions_tool",5,16,19
"9","Support to non-state armed groups_tool",0,17,18
"10","Amnesties_tool",2,28,30
"11","Arms embargoes_tool",1,15,16
"12","Diplomatic sanctions_tool",1,4,5
